Server Address ,Timeout term, Timeout time
168.14.55.240/10,20230502191022-20230502192522,900.210
177.185.128.137/25,20230502191630-20230502192630,600.277
9.111.78.84/19,20230502191818-20230502192818,600.961
81.255.22.30/24,20230502191907-20230502192907,600.633
59.101.143.52/13,20230502192138-20230502193138,600.875
56.117.128.85/2,20230502190854-20230502193354,1500.779
81.255.22.77/24,20230502191904-20230502193404,900.727
208.159.246.1/20,20230502192441-20230502193441,600.289
20.7.110.77/7,20230502192930-20230502193930,600.888
81.255.22.30/24,20230502193907-20230502194907,600.580
20.165.187.3/7,20230502193431-20230502194931,900.222
59.103.175.121/13,20230502194139-20230502195139,600.341
28.129.145.98/16,20230502194152-20230502195152,600.079
203.50.98.161/19,20230502194156-20230502195656,900.314
97.231.70.28/26,20230502195008-20230502200008,600.489
168.14.55.240/10,20230502195022-20230502200022,600.750
98.117.176.229/7,20230502195253-20230502200253,600.007
9.111.78.84/19,20230502195318-20230502200318,600.943
56.76.34.106/10,20230502195351-20230502200351,600.656
20.165.187.3/7,20230502195431-20230502200431,600.876
208.159.240.45/20,20230502195444-20230502200444,600.677
171.111.162.229/28,20230502194700-20230502200700,1200.791
17.249.20.229/16,20230502195841-20230502200841,600.905
37.180.153.109/21,20230502195908-20230502200908,600.146
159.218.83.48/2,20230502200424-20230502201424,600.194
225.177.190.229/13,20230502200710-20230502201710,600.842
164.237.177.33/22,20230502195825-20230502201825,1200.433
59.101.143.52/13,20230502200138-20230502202138,1200.854
156.179.168.89/2,20230502201416-20230502202416,600.596
42.105.108.220/5,20230502201707-20230502202707,600.545
9.111.78.84/19,20230502201818-20230502202818,600.143
134.111.246.222/8,20230502201835-20230502202835,600.114
11.154.184.229/25,20230502201855-20230502202855,600.262
59.101.143.52/13,20230502202638-20230502203638,600.765
134.0.113.205/8,20230502202833-20230502203833,600.767
37.248.205.33/26,20230502202611-20230502204111,900.809
158.165.36.254/6,20230502203438-20230502204438,600.456
208.159.246.1/20,20230502203441-20230502204441,600.914
75.50.142.89/22,20230502203633-20230502204633,600.716
109.128.226.43/22,20230502203746-20230502204746,600.485
44.177.37.217/27,20230502203806-20230502204806,600.048
9.111.71.51/19,20230502203820-20230502204820,600.524
192.187.36.108/20,20230502204015-20230502205015,600.216
9.111.78.84/19,20230502204318-20230502205318,600.363
81.255.22.77/24,20230502204404-20230502205404,600.861
156.179.168.89/2,20230502204416-20230502205416,600.512
208.159.240.45/20,20230502204444-20230502205444,600.109
42.105.108.220/5,20230502204707-20230502205707,600.596
62.89.35.65/15,20230502204900-20230502205900,600.158
186.136.5.93/10,20230502204412-20230502205912,900.468
135.35.117.33/18,20230502205447-20230502210447,600.778
25.235.153.95/20,20230502205544-20230502210544,600.234
42.228.53.247/5,20230502205702-20230502210702,600.361
109.128.226.138/22,20230502205752-20230502210752,600.038
9.111.78.84/19,20230502205818-20230502210818,600.337
208.159.240.45/20,20230502205944-20230502210944,600.959
105.196.101.84/27,20230502205715-20230502211215,900.321
61.201.192.199/20,20230502210258-20230502211258,600.883
186.136.5.93/10,20230502210412-20230502211412,600.318
158.108.74.234/6,20230502210437-20230502211437,600.060
75.50.142.15/22,20230502210636-20230502211636,600.137
37.248.205.53/26,20230502211114-20230502212114,600.880
219.179.103.49/22,20230502211627-20230502212627,600.738
109.128.226.43/22,20230502211746-20230502212746,600.225
134.0.113.205/8,20230502211833-20230502212833,600.031
37.180.153.109/21,20230502211908-20230502212908,600.267
20.165.187.3/7,20230502211931-20230502212931,600.267
236.21.251.21/22,20230502210956-20230502212956,1200.453
56.117.128.85/2,20230502212354-20230502213354,600.589
37.180.154.5/21,20230502212409-20230502213409,600.050
170.160.187.199/1,20230502212722-20230502213722,600.833
105.196.101.86/27,20230502212714-20230502214214,900.871
246.93.20.96/18,20230502213301-20230502214301,600.195
158.108.74.234/6,20230502213437-20230502214437,600.648
81.255.22.77/24,20230502213904-20230502214904,600.414
97.231.70.52/26,20230502214003-20230502215003,600.679
186.136.5.93/10,20230502213912-20230502215412,900.935
7.26.157.101/26,20230502214512-20230502215512,600.116
230.5.194.181/21,20230502214602-20230502215602,600.801
177.185.128.156/25,20230502214629-20230502215629,600.636
134.0.113.205/8,20230502214333-20230502215833,900.137
37.180.153.109/21,20230502214908-20230502215908,600.665
186.137.64.199/10,20230502214911-20230502215911,600.987
37.248.205.53/26,20230502215114-20230502220114,600.260
246.93.20.96/18,20230502214801-20230502220301,900.897
9.111.71.51/19,20230502215320-20230502220320,600.699
87.35.170.5/12,20230502215735-20230502220735,600.252
56.76.34.106/10,20230502215851-20230502220851,600.251
105.196.101.84/27,20230502220215-20230502221215,600.989
135.35.74.17/18,20230502220453-20230502221453,600.564
236.21.251.21/22,20230502220456-20230502221456,600.551
168.14.55.240/10,20230502220522-20230502221522,600.399
25.235.146.247/20,20230502220546-20230502221546,600.215
36.104.162.32/9,20230502220330-20230502221830,900.283
134.0.113.205/8,20230502220833-20230502222333,900.860
97.231.70.52/26,20230502221503-20230502222503,600.628
75.50.142.89/22,20230502221633-20230502222633,600.074
87.34.76.152/12,20230502221733-20230502222733,600.183
164.237.177.33/22,20230502221825-20230502222825,600.286
37.248.205.53/26,20230502221614-20230502223114,900.339
164.237.178.116/22,20230502222321-20230502223321,600.533
56.117.128.85/2,20230502220854-20230502223354,1500.539
55.246.196.39/19,20230502222556-20230502223556,600.857
28.129.115.151/16,20230502222151-20230502223651,900.818
100.108.195.190/22,20230502222814-20230502223814,600.014
11.154.184.229/25,20230502222855-20230502223855,600.049
168.14.55.240/10,20230502223022-20230502224022,600.542
61.201.198.227/20,20230502223257-20230502224257,600.942
246.93.20.96/18,20230502222801-20230502224301,900.310
44.177.37.217/27,20230502222806-20230502224306,900.132
62.89.35.65/15,20230502223400-20230502224400,600.872
158.165.36.254/6,20230502222938-20230502224438,900.196
176.80.241.77/11,20230502223520-20230502224520,600.929
55.246.211.30/19,20230502223554-20230502224554,600.534
37.248.205.33/26,20230502223611-20230502224611,600.815
219.179.100.153/22,20230502223619-20230502224619,600.566
160.75.18.105/16,20230502223645-20230502224645,600.181
134.111.246.222/8,20230502223835-20230502224835,600.619
219.179.103.49/22,20230502224127-20230502225127,600.326
44.177.37.213/27,20230502224303-20230502225303,600.699
158.108.74.234/6,20230502224437-20230502225437,600.492
236.21.251.65/22,20230502224502-20230502225502,600.350
97.231.70.28/26,20230502224008-20230502225508,900.575
168.14.55.240/10,20230502224522-20230502225522,600.792
48.16.93.31/25,20230502224526-20230502225526,600.742
100.108.192.70/22,20230502224816-20230502225816,600.378
62.89.35.65/15,20230502224900-20230502225900,600.061
87.34.76.152/12,20230502225233-20230502230233,600.710
77.171.247.219/19,20230502225237-20230502230237,600.750
246.93.20.96/18,20230502225801-20230502230801,600.062
48.16.93.75/25,20230502230028-20230502231028,600.472
55.246.211.30/19,20230502230054-20230502231054,600.757
87.35.170.5/12,20230502230235-20230502231235,600.575
219.179.103.49/22,20230502230627-20230502231627,600.109
59.103.175.121/13,20230502230639-20230502231639,600.424
199.4.137.119/1,20230502230223-20230502231723,900.835
75.50.142.15/22,20230502230636-20230502232136,900.771
99.52.33.70/7,20230502231256-20230502232256,600.864
156.179.168.89/2,20230502231416-20230502232416,600.855
7.26.157.64/26,20230502231509-20230502232509,600.852
87.34.76.152/12,20230502231733-20230502232733,600.011
246.93.20.96/18,20230502231801-20230502232801,600.156
36.31.22.159/9,20230502231829-20230502232829,600.665
159.218.83.48/2,20230502231924-20230502232924,600.755
20.165.187.3/7,20230502231931-20230502232931,600.477
158.108.74.234/6,20230502231937-20230502232937,600.626
225.177.190.229/13,20230502232210-20230502233210,600.379
135.35.74.17/18,20230502232453-20230502233453,600.538
97.231.70.28/26,20230502232508-20230502233508,600.135
192.187.36.220/20,20230502232519-20230502233519,600.187
17.249.20.229/16,20230502232841-20230502233841,600.393
9.111.78.84/19,20230502232818-20230502234318,900.785
17.249.232.75/16,20230502233348-20230502234848,900.470
131.99.245.55/21,20230502233936-20230502234936,600.468
208.159.240.45/20,20230502233444-20230502234944,900.666
219.179.103.49/22,20230502234127-20230502235127,600.041
134.111.246.222/8,20230502234335-20230502235335,600.900
62.88.35.118/15,20230502234401-20230502235401,600.705
186.136.5.93/10,20230502234412-20230502235412,600.953
20.165.187.3/7,20230502234431-20230502235431,600.660
170.160.187.199/1,20230502234722-20230502235722,600.821
77.171.242.144/19,20230502235240-20230503000240,600.018
11.154.184.213/25,20230502235358-20230503000358,600.105
159.218.83.48/2,20230502235424-20230503000424,600.024
168.14.55.240/10,20230502235022-20230503000522,900.342
75.50.142.15/22,20230502235636-20230503000636,600.730
160.75.18.105/16,20230502235645-20230503000645,600.390
87.35.170.5/12,20230502235735-20230503000735,600.871
192.187.36.220/20,20230503000019-20230503001019,600.597
246.93.20.96/18,20230503000301-20230503001301,600.391
225.180.30.210/13,20230503000709-20230503001709,600.289
164.237.178.116/22,20230503000821-20230503001821,600.853
164.237.177.33/22,20230503000825-20230503001825,600.544
62.88.35.118/15,20230503000401-20230503001901,900.557
230.5.194.181/21,20230503001102-20230503002102,600.601
170.160.187.199/1,20230503001222-20230503002222,600.071
36.31.22.159/9,20230503001329-20230503002329,600.296
176.84.58.155/11,20230503001521-20230503002521,600.135
25.235.153.95/20,20230503001544-20230503002544,600.374
17.249.232.75/16,20230503001848-20230503002848,600.085
236.21.251.21/22,20230503000956-20230503002956,1200.697
109.128.226.138/22,20230503002252-20230503003252,600.653
100.108.195.190/22,20230503002314-20230503003314,600.284
56.76.34.106/10,20230503002351-20230503003351,600.565
59.101.143.52/13,20230503002638-20230503003638,600.052
186.137.64.199/10,20230503002911-20230503003911,600.227
17.249.20.229/16,20230503003341-20230503004341,600.641
0.122.8.157/2,20230503003352-20230503004352,600.351
208.159.240.45/20,20230503003444-20230503004444,600.063
177.185.128.156/25,20230503002629-20230503004629,1200.992
159.218.83.48/2,20230503003924-20230503004924,600.596
219.179.100.153/22,20230503004119-20230503005119,600.463
28.129.115.151/16,20230503004151-20230503005151,600.032
20.165.187.3/7,20230503004431-20230503005431,600.183
176.84.58.155/11,20230503004521-20230503005521,600.431
168.10.204.148/10,20230503004525-20230503010025,900.598
42.228.53.247/5,20230503005202-20230503010202,600.758
62.89.35.65/15,20230503005400-20230503010400,600.805
199.4.137.119/1,20230503005723-20230503010723,600.048
87.35.170.5/12,20230503005735-20230503010735,600.035
20.165.187.3/7,20230503005931-20230503010931,600.279
168.14.55.240/10,20230503010022-20230503011022,600.886
36.31.22.159/9,20230503010329-20230503011329,600.077
192.187.36.220/20,20230503010519-20230503011519,600.326
25.235.146.247/20,20230503010546-20230503011546,600.281
203.50.98.161/19,20230503010156-20230503011656,900.016
225.180.30.210/13,20230503005709-20230503011709,1200.533
7.26.157.101/26,20230503011012-20230503012012,600.756
62.88.35.118/15,20230503011401-20230503012401,600.557
219.179.100.153/22,20230503011619-20230503012619,600.180
77.171.242.144/19,20230503011240-20230503012740,900.564
160.75.127.133/16,20230503012140-20230503013140,600.113
109.128.226.43/22,20230503012246-20230503013246,600.236
56.117.128.85/2,20230503011854-20230503013354,900.887
20.165.187.3/7,20230503012431-20230503013431,600.286
59.101.143.52/13,20230503012638-20230503013638,600.561
56.66.252.146/10,20230503012849-20230503013849,600.261
62.88.35.118/15,20230503012901-20230503013901,600.053
9.111.71.51/19,20230503013320-20230503014320,600.315
62.89.35.65/15,20230503013400-20230503014400,600.323
186.136.5.93/10,20230503013412-20230503014412,600.031
192.187.36.108/20,20230503013515-20230503014515,600.687
55.246.211.30/19,20230503013554-20230503014554,600.395
75.50.142.89/22,20230503013633-20230503014633,600.540
208.159.246.1/20,20230503013941-20230503014941,600.499
97.231.70.28/26,20230503014008-20230503015008,600.099
168.14.55.240/10,20230503014022-20230503015022,600.884
44.177.37.213/27,20230503014303-20230503015303,600.542
100.108.192.70/22,20230503014316-20230503015316,600.546
81.255.22.77/24,20230503014404-20230503015404,600.542
135.35.117.33/18,20230503014447-20230503015447,600.886
59.103.175.121/13,20230503014639-20230503015639,600.208
28.129.115.151/16,20230503014651-20230503015651,600.820
171.111.162.234/28,20230503014158-20230503015658,900.578
98.117.176.229/7,20230503014753-20230503015753,600.978
37.248.205.33/26,20230503014611-20230503020111,900.799
59.101.143.52/13,20230503014638-20230503020138,900.707
87.34.76.152/12,20230503014733-20230503020233,900.139
77.171.242.144/19,20230503014740-20230503020240,900.394
164.237.177.33/22,20230503015825-20230503020825,600.857
56.117.128.85/2,20230503015854-20230503020854,600.890
81.255.22.30/24,20230503015907-20230503020907,600.830
20.165.187.3/7,20230503015931-20230503020931,600.143
158.165.36.254/6,20230503015938-20230503020938,600.997
192.187.36.108/20,20230503015515-20230503021015,900.709
25.235.146.247/20,20230503020046-20230503021046,600.136
28.129.115.151/16,20230503020151-20230503021151,600.012
225.177.190.229/13,20230503014710-20230503021210,1500.815
246.93.46.246/18,20230503020302-20230503021302,600.708
7.26.157.64/26,20230503020009-20230503021509,900.502
25.235.153.95/20,20230503015544-20230503021544,1200.130
219.179.103.49/22,20230503020627-20230503021627,600.386
17.249.232.75/16,20230503015848-20230503021848,1200.549
37.248.205.33/26,20230503021611-20230503022611,600.500
219.179.100.153/22,20230503021619-20230503022619,600.478
42.228.53.247/5,20230503021202-20230503022702,900.836
87.35.170.5/12,20230503021735-20230503022735,600.906
7.26.157.101/26,20230503022012-20230503023012,600.698
160.75.127.133/16,20230503021640-20230503023140,900.199
199.4.137.119/1,20230503022223-20230503023223,600.613
236.21.251.65/22,20230503022502-20230503023502,600.914
25.235.146.247/20,20230503022546-20230503023546,600.525
87.34.76.152/12,20230503022733-20230503023733,600.604
176.80.241.77/11,20230503023020-20230503024020,600.102
55.246.196.39/19,20230503023056-20230503024056,600.245
219.179.100.153/22,20230503023119-20230503024119,600.363
36.31.22.159/9,20230503022829-20230503024329,900.607
159.218.83.48/2,20230503023424-20230503024424,600.890
20.7.110.77/7,20230503023430-20230503024430,600.193
208.159.246.1/20,20230503023941-20230503024941,600.009
62.89.35.65/15,20230503024400-20230503025400,600.992
208.159.240.45/20,20230503024444-20230503025444,600.755
36.31.22.159/9,20230503025329-20230503030329,600.845
62.88.35.118/15,20230503025401-20230503030401,600.303
59.101.143.52/13,20230503025638-20230503030638,600.970
131.99.246.254/21,20230503025932-20230503030932,600.917
131.99.245.55/21,20230503025936-20230503030936,600.532
158.108.74.234/6,20230503025937-20230503030937,600.783
219.179.100.153/22,20230503030119-20230503031119,600.707
203.50.98.161/19,20230503025656-20230503031156,900.782
77.171.242.144/19,20230503030240-20230503031240,600.102
156.179.168.89/2,20230503025416-20230503031416,1200.785
158.165.36.254/6,20230503025938-20230503031438,900.005
208.159.246.1/20,20230503030441-20230503031441,600.805
135.35.117.33/18,20230503030447-20230503031447,600.579
219.179.103.49/22,20230503030627-20230503031627,600.244
7.26.157.64/26,20230503031009-20230503032009,600.905
176.80.241.77/11,20230503031020-20230503032020,600.176
203.50.116.77/19,20230503031654-20230503032654,600.254
77.171.247.219/19,20230503031737-20230503032737,600.504
156.179.168.89/2,20230503031916-20230503032916,600.064
20.165.187.3/7,20230503031931-20230503032931,600.566
131.99.246.254/21,20230503031932-20230503032932,600.427
177.185.128.137/25,20230503032130-20230503033130,600.729
164.237.177.33/22,20230503032325-20230503033325,600.412
230.5.194.166/21,20230503032607-20230503033607,600.142
160.75.127.133/16,20230503032140-20230503033640,900.479
0.122.8.157/2,20230503032852-20230503033852,600.147
208.159.246.1/20,20230503033441-20230503034441,600.466
135.35.74.17/18,20230503033453-20230503034453,600.365
7.26.157.101/26,20230503033512-20230503034512,600.957
17.249.232.75/16,20230503033848-20230503034848,600.517
81.255.22.30/24,20230503033907-20230503034907,600.348
7.26.157.64/26,20230503034009-20230503035009,600.356
48.16.93.31/25,20230503034026-20230503035026,600.733
55.246.196.39/19,20230503034056-20230503035056,600.518
77.171.247.219/19,20230503034237-20230503035237,600.238
36.104.162.32/9,20230503034830-20230503035830,600.622
176.84.58.155/11,20230503035021-20230503040021,600.109
105.196.101.84/27,20230503035215-20230503040215,600.258
170.160.187.199/1,20230503034722-20230503040222,900.192
87.34.76.152/12,20230503035233-20230503040233,600.131
44.177.37.217/27,20230503035306-20230503040306,600.072
59.101.143.52/13,20230503035638-20230503040638,600.363
160.75.18.105/16,20230503034145-20230503040645,1500.442
158.165.36.254/6,20230503035938-20230503040938,600.001
98.117.176.229/7,20230503040253-20230503041253,600.153
225.180.30.210/13,20230503040209-20230503041709,900.888
17.249.232.75/16,20230503040848-20230503041848,600.646
11.154.184.229/25,20230503040855-20230503041855,600.442
97.231.70.28/26,20230503040008-20230503042008,1200.445
48.16.93.75/25,20230503041028-20230503042028,600.904
219.179.103.49/22,20230503040627-20230503042127,900.858
109.128.226.138/22,20230503041252-20230503042252,600.404
56.117.128.85/2,20230503041354-20230503042354,600.248
97.231.70.52/26,20230503041503-20230503042503,600.186
41.197.221.248/25,20230503042039-20230503043039,600.096
28.129.115.151/16,20230503040651-20230503043151,1500.138
81.255.22.30/24,20230503042407-20230503043407,600.512
41.197.221.227/25,20230503042541-20230503043541,600.515
203.50.116.77/19,20230503042654-20230503043654,600.446
87.34.76.152/12,20230503042733-20230503043733,600.150
99.52.33.70/7,20230503042756-20230503043756,600.237
44.177.37.217/27,20230503042806-20230503043806,600.908
36.31.22.159/9,20230503042329-20230503043829,900.278
168.10.204.148/10,20230503043025-20230503044025,600.582
203.50.98.161/19,20230503043156-20230503044156,600.342
56.66.252.146/10,20230503043349-20230503044349,600.340
56.76.34.106/10,20230503042851-20230503044351,900.295
55.246.211.30/19,20230503043554-20230503044554,600.521
177.185.128.156/25,20230503043629-20230503044629,600.789
176.84.58.155/11,20230503044521-20230503050021,900.411
28.129.145.98/16,20230503045152-20230503050152,600.109
171.111.162.234/28,20230503045158-20230503050158,600.074
11.154.184.213/25,20230503045858-20230503050858,600.652
87.35.170.5/12,20230503050235-20230503051235,600.840
99.52.33.70/7,20230503050256-20230503051256,600.382
109.128.226.138/22,20230503050252-20230503051752,900.954
9.111.78.84/19,20230503050818-20230503051818,600.115
164.237.178.116/22,20230503051321-20230503052321,600.463
156.179.168.89/2,20230503051416-20230503052416,600.706
177.185.128.137/25,20230503051630-20230503052630,600.737
77.171.247.219/19,20230503051737-20230503052737,600.758
105.196.101.84/27,20230503052215-20230503053215,600.395
56.117.128.85/2,20230503052354-20230503053354,600.115
186.137.64.199/10,20230503052411-20230503053411,600.075
168.10.204.148/10,20230503052525-20230503053525,600.399
25.235.153.95/20,20230503052044-20230503053544,900.702
171.111.162.234/28,20230503052658-20230503053658,600.703
100.108.192.70/22,20230503052816-20230503053816,600.131
17.249.20.229/16,20230503052341-20230503053841,900.021
159.218.83.48/2,20230503052424-20230503053924,900.674
164.237.178.116/22,20230503053321-20230503054321,600.171
0.122.8.157/2,20230503052852-20230503054352,900.709
97.231.70.28/26,20230503053508-20230503054508,600.212
171.111.162.229/28,20230503053700-20230503054700,600.359
42.228.53.247/5,20230503053702-20230503054702,600.912
100.108.195.190/22,20230503053814-20230503054814,600.971
105.196.101.84/27,20230503053715-20230503055215,900.126
61.201.192.199/20,20230503054258-20230503055258,600.555
186.137.64.199/10,20230503054411-20230503055411,600.587
28.129.145.98/16,20230503054652-20230503055652,600.373
199.4.137.119/1,20230503054223-20230503055723,900.229
164.237.178.116/22,20230503054821-20230503055821,600.790
17.249.20.229/16,20230503054841-20230503055841,600.623
17.249.232.75/16,20230503054848-20230503055848,600.431
37.180.153.109/21,20230503054408-20230503055908,900.127
20.7.110.77/7,20230503054930-20230503055930,600.583
25.235.146.247/20,20230503055046-20230503060046,600.035
81.255.22.77/24,20230503054404-20230503060404,1200.973
177.185.128.156/25,20230503055629-20230503060629,600.597
225.177.190.229/13,20230503055710-20230503060710,600.355
170.160.187.199/1,20230503055722-20230503060722,600.554
87.35.170.5/12,20230503055735-20230503060735,600.438
98.117.176.229/7,20230503055253-20230503060753,900.317
11.154.184.229/25,20230503055855-20230503060855,600.453
192.187.36.108/20,20230503060015-20230503061015,600.334
42.105.108.220/5,20230503060207-20230503061207,600.676
55.246.211.30/19,20230503060554-20230503061554,600.150
109.128.226.43/22,20230503060246-20230503061746,900.339
20.7.110.77/7,20230503060930-20230503061930,600.414
203.50.98.161/19,20230503060156-20230503062156,1200.769
171.111.162.234/28,20230503061158-20230503062158,600.490
36.31.22.159/9,20230503061329-20230503062329,600.301
97.231.70.52/26,20230503061503-20230503062503,600.725
105.196.101.84/27,20230503061715-20230503062715,600.387
61.201.198.227/20,20230503061757-20230503062757,600.423
158.165.36.254/6,20230503061938-20230503062938,600.548
61.201.192.199/20,20230503062258-20230503063258,600.181
81.255.22.77/24,20230503062404-20230503063404,600.813
171.111.162.229/28,20230503062700-20230503063700,600.476
62.88.35.118/15,20230503062901-20230503063901,600.672
75.50.142.15/22,20230503063136-20230503064136,600.242
160.75.18.105/16,20230503063145-20230503064145,600.615
170.160.187.199/1,20230503063222-20230503064222,600.459
56.76.34.106/10,20230503062851-20230503064351,900.703
20.7.110.77/7,20230503063430-20230503064430,600.611
97.231.70.28/26,20230503063508-20230503064508,600.590
135.35.117.33/18,20230503063447-20230503064947,900.870
37.248.205.33/26,20230503064111-20230503065111,600.802
17.249.232.75/16,20230503064348-20230503065348,600.075
219.179.100.153/22,20230503064619-20230503065619,600.949
203.50.98.161/19,20230503064656-20230503065656,600.584
99.52.33.70/7,20230503064756-20230503065756,600.285
109.128.226.43/22,20230503065246-20230503070246,600.416
246.93.46.246/18,20230503065302-20230503070302,600.425
75.50.142.89/22,20230503070133-20230503071133,600.118
56.117.128.85/2,20230503065854-20230503071354,900.271
158.108.74.234/6,20230503070437-20230503071437,600.505
208.159.246.1/20,20230503070441-20230503071441,600.256
48.16.93.75/25,20230503070528-20230503071528,600.430
100.108.192.70/22,20230503065816-20230503071816,1200.257
160.75.127.133/16,20230503071140-20230503072140,600.680
177.185.128.156/25,20230503071629-20230503072629,600.053
105.196.101.86/27,20230503071214-20230503072714,900.562
77.171.247.219/19,20230503071737-20230503072737,600.625
77.171.242.144/19,20230503071240-20230503072740,900.939
225.180.30.210/13,20230503072209-20230503073209,600.643
100.108.195.190/22,20230503072314-20230503073314,600.396
61.201.198.227/20,20230503072257-20230503073757,900.185
236.21.251.65/22,20230503072502-20230503074002,900.051
17.249.20.229/16,20230503073341-20230503074341,600.661
131.99.245.55/21,20230503073436-20230503074436,600.896
25.235.146.247/20,20230503073546-20230503074546,600.754
171.111.162.234/28,20230503074658-20230503075658,600.790
100.108.195.190/22,20230503074814-20230503075814,600.037
134.0.113.205/8,20230503074833-20230503075833,600.164
192.187.36.220/20,20230503074519-20230503080019,900.057
168.14.55.240/10,20230503075022-20230503080022,600.183
28.129.115.151/16,20230503075151-20230503080151,600.473
87.34.76.152/12,20230503075233-20230503080233,600.420
11.154.184.229/25,20230503075355-20230503080355,600.672
17.249.232.75/16,20230503075348-20230503080848,900.927
131.99.246.254/21,20230503075932-20230503080932,600.640
55.246.211.30/19,20230503080054-20230503081054,600.169
219.179.100.153/22,20230503075619-20230503081119,900.126
56.76.34.106/10,20230503075851-20230503081351,900.332
186.137.64.199/10,20230503080411-20230503081411,600.396
192.187.36.220/20,20230503080519-20230503081519,600.001
168.14.55.240/10,20230503080522-20230503081522,600.550
203.50.98.161/19,20230503080656-20230503081656,600.139
36.104.162.32/9,20230503080330-20230503081830,900.462
159.218.83.48/2,20230503080924-20230503081924,600.589
20.7.110.77/7,20230503080930-20230503081930,600.820
168.10.204.148/10,20230503081025-20230503082025,600.469
75.50.142.89/22,20230503081133-20230503082133,600.217
28.129.115.151/16,20230503081151-20230503082151,600.518
44.177.37.217/27,20230503075806-20230503082306,1500.935
7.26.157.101/26,20230503081512-20230503082512,600.307
230.5.194.166/21,20230503081607-20230503082607,600.435
134.111.246.222/8,20230503081835-20230503082835,600.759
135.35.74.17/18,20230503081953-20230503082953,600.120
109.128.226.138/22,20230503082252-20230503083252,600.403
81.255.22.77/24,20230503082404-20230503083404,600.841
55.246.211.30/19,20230503082554-20230503083554,600.879
77.171.247.219/19,20230503082737-20230503083737,600.600
131.99.245.55/21,20230503082936-20230503083936,600.591
158.165.36.254/6,20230503082438-20230503083938,900.305
97.231.70.52/26,20230503083003-20230503084003,600.004
171.111.162.229/28,20230503083200-20230503084200,600.024
42.105.108.220/5,20230503080707-20230503084207,2100.549
105.196.101.86/27,20230503081714-20230503084214,1500.259
100.108.195.190/22,20230503083314-20230503084314,600.878
225.177.190.229/13,20230503083710-20230503084710,600.538
56.117.128.85/2,20230503083854-20230503084854,600.328
236.21.251.65/22,20230503084002-20230503085002,600.938
158.108.74.234/6,20230503084437-20230503085437,600.301
208.159.246.1/20,20230503083941-20230503085441,900.878
176.84.58.155/11,20230503084521-20230503085521,600.529
41.197.221.227/25,20230503084541-20230503085541,600.321
37.248.205.53/26,20230503084614-20230503085614,600.626
160.75.18.105/16,20230503084645-20230503085645,600.961
42.228.53.247/5,20230503084702-20230503085702,600.897
100.108.195.190/22,20230503084814-20230503085814,600.760
56.76.34.106/10,20230503084851-20230503085851,600.546
135.35.117.33/18,20230503084947-20230503085947,600.860
135.35.74.17/18,20230503084953-20230503085953,600.758
25.235.153.95/20,20230503085044-20230503090044,600.025
219.179.103.49/22,20230503085127-20230503090127,600.179
77.171.242.144/19,20230503084740-20230503090240,900.103
219.179.100.153/22,20230503085119-20230503090619,900.157
59.101.143.52/13,20230503085638-20230503090638,600.303
225.180.30.210/13,20230503085709-20230503090709,600.884
164.237.178.116/22,20230503085821-20230503090821,600.199
81.255.22.30/24,20230503085907-20230503090907,600.420
134.0.113.205/8,20230503090333-20230503091333,600.816
17.249.20.229/16,20230503090341-20230503091341,600.920
81.255.22.77/24,20230503090404-20230503091404,600.303
131.99.245.55/21,20230503090436-20230503091436,600.153
37.248.205.53/26,20230503090114-20230503091614,900.316
109.128.226.138/22,20230503090752-20230503091752,600.148
134.111.246.222/8,20230503090835-20230503091835,600.957
9.111.71.51/19,20230503091320-20230503092320,600.504
36.104.162.32/9,20230503091330-20230503092330,600.097
0.122.8.157/2,20230503090852-20230503092352,900.558
105.196.101.84/27,20230503091715-20230503092715,600.150
77.171.242.144/19,20230503091740-20230503092740,600.178
246.93.20.96/18,20230503091801-20230503092801,600.041
11.154.184.229/25,20230503091355-20230503092855,900.460
20.7.110.77/7,20230503091430-20230503092930,900.501
219.179.103.49/22,20230503092627-20230503093627,600.195
105.196.101.86/27,20230503092714-20230503093714,600.571
158.108.74.234/6,20230503092937-20230503093937,600.360
105.196.101.84/27,20230503093215-20230503094215,600.770
134.111.246.222/8,20230503093335-20230503094335,600.493
11.154.184.213/25,20230503092358-20230503094358,1200.113
177.185.128.156/25,20230503093129-20230503094629,900.185
177.185.128.137/25,20230503093630-20230503094630,600.039
160.75.127.133/16,20230503093640-20230503094640,600.140
17.249.232.75/16,20230503093848-20230503094848,600.601
192.187.36.108/20,20230503094015-20230503095015,600.323
48.16.93.75/25,20230503093028-20230503095028,1200.118
168.10.204.148/10,20230503094525-20230503095525,600.293
170.160.187.199/1,20230503094722-20230503095722,600.387
61.201.198.227/20,20230503093257-20230503095757,1500.220
56.117.128.85/2,20230503094854-20230503095854,600.728
158.165.36.254/6,20230503094938-20230503095938,600.185
160.75.127.133/16,20230503095140-20230503100140,600.637
99.52.33.70/7,20230503094756-20230503100256,900.675
36.31.22.159/9,20230503095329-20230503100329,600.229
48.16.93.31/25,20230503095526-20230503100526,600.936
37.248.205.53/26,20230503095614-20230503100614,600.979
225.177.190.229/13,20230503095710-20230503100710,600.108
109.128.226.43/22,20230503095746-20230503100746,600.305
56.66.252.146/10,20230503095849-20230503100849,600.182
236.21.251.65/22,20230503095502-20230503101002,900.676
